Country_Region,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2
Japan,"123,290,400.00","123,962,300.00","124,080,000.00","131,842,800.00","127,370,100.00","126,615,900.00","125,507,400.00","134,382,600.00","131,729,200.00","131,433,800.00","130,273,600.00","137,883,200.00","133,195,400.00","132,294,800.00","130,701,600.00","139,345,400.00","134,509,000.00","134,461,100.00","134,034,100.00","142,893,200.00","136,197,800.00","136,033,900.00","133,231,700.00","141,662,200.00","137,445,500.00","137,791,400.00","136,341,900.00","142,383,300.00",...,...
Kazakhstan,"6,966,935.00","7,533,057.20","9,268,001.20","12,231,031.70","7,933,827.50","8,549,124.70","10,558,035.10","12,634,845.60","8,267,517.70","8,536,900.40","10,632,118.60","13,447,596.90","9,309,090.90","10,047,966.00","11,998,069.20","15,616,023.90","10,431,358.00","11,114,911.70","13,595,795.50",...,...,...,...,...,...,...,...,...,...,...
"Korea, Rep. of","355,384,700.00","373,096,500.00","379,887,200.00","392,450,800.00","373,559,700.00","388,566,900.00","393,425,400.00","407,377,000.00","394,261,800.00","411,336,500.00","420,849,600.00","431,572,600.00","413,321,800.00","434,542,900.00","439,401,900.00","453,512,900.00","433,537,200.00","453,891,300.00","473,660,900.00","474,608,700.00","449,511,100.00","471,629,900.00","484,491,500.00","487,864,600.00","454,699,800.00","477,978,900.00","486,374,200.00","494,910,700.00",...,...
"Kosovo, Rep. of","1,069.22","1,395.66","1,466.27","1,395.40","1,167.10","1,403.65","1,548.23","1,448.28","1,201.03","1,459.64","1,616.81","1,529.52","1,258.96","1,531.67","1,695.69","1,584.36","1,296.27","1,630.29","1,809.84","1,677.14","1,347.35","1,719.25","1,869.71","1,789.78","1,421.32","1,823.96","1,967.39","1,866.95","1,437.69",...
Kyrgyz Rep.,"62,957.70","76,846.90","103,201.40","112,288.80","69,449.10","84,316.60","116,879.10","130,049.20","80,709.70","92,915.40","120,251.00","129,759.40","78,799.00","97,238.10","134,046.10","142,595.80","86,143.10",...,...,...,...,...,...,...,...,...,...,...,...,...
Latvia,"5,037.90","5,653.09","5,964.23","6,147.80","5,284.49","5,859.39","6,171.44","6,338.83","5,416.10","6,111.57","6,426.89","6,471.40","5,586.11","6,260.64","6,498.67","6,727.22","5,905.61","6,697.21","7,030.40","7,164.61","6,305.74","7,275.08","7,640.91","7,834.32","6,761.30","7,650.35","8,043.97","8,020.46","6,750.92",...
Lithuania,"7,704.84","8,771.09","9,517.31","8,991.75","8,180.41","9,200.55","9,889.37","9,274.42","8,208.35","9,360.99","10,122.96","9,629.52","8,566.86","9,744.14","10,473.05","10,109.32","9,313.72","10,487.93","11,451.43","11,016.29","9,967.09","11,229.38","12,070.07","11,997.84","10,719.45","12,052.25","12,903.65","12,757.48","11,123.61","11,471.89"
Luxembourg,"10,935.20","11,582.02","11,492.71","12,489.56","12,048.12","12,124.21","12,307.06","13,344.98","12,713.06","13,005.51","12,455.11","13,892.11","13,170.91","13,532.80","13,462.29","14,701.22","13,672.63","14,068.37","13,822.29","15,250.90","14,377.40","14,845.99","14,829.89","15,999.78","15,091.31","15,824.41","15,628.87","16,971.74","15,480.90",...
Malaysia,"241,834.00","245,051.00","258,245.00","273,484.00","265,983.00","272,369.00","278,762.00","289,328.00","277,698.00","283,722.00","292,722.00","304,371.00","290,946.00","298,998.00","312,163.00","328,914.00","324,577.00","329,787.00","343,008.00","356,009.00","343,151.00","348,979.00","363,085.00","374,627.00",...,...,...,...,...,...
Malta,"1,779.65","1,915.11","2,027.56","1,929.22","1,986.26","2,113.68","2,229.92","2,196.35","2,248.11","2,401.87","2,533.14","2,473.49","2,458.95","2,563.71","2,703.75","2,643.32","2,684.81","2,811.08","2,973.20","2,852.65","2,888.90","3,096.60","3,275.89","3,141.44","3,133.80","3,299.25","3,479.58","3,364.63","3,192.76",...
Mauritius,"86,228.00","90,540.00","92,605.00","103,024.00","90,515.00","96,802.00","97,155.00","107,590.00","95,623.00","100,197.00","102,148.00","111,924.00","101,639.00","106,372.00","108,007.00","118,747.00","106,951.00","112,872.00","112,767.00","124,874.00","112,869.00","120,441.00","118,414.00",...,...,...,...,...,...,...
Mexico,"3,942,436.87","4,050,038.22","4,050,859.21","4,233,852.78","4,185,295.21","4,353,995.75","4,363,317.22","4,571,233.36","4,441,597.37","4,617,455.19","4,664,668.32","4,827,738.39","4,744,496.84","4,992,520.01","5,038,660.54","5,342,423.53","5,324,443.90","5,453,628.33","5,426,160.76","5,707,660.80","5,678,301.46","5,911,460.90","5,826,988.03","6,074,756.63","5,992,873.85","6,080,970.20","5,990,647.31","6,174,640.66",...,...
Moldova,"23,518.12","28,351.57","35,832.90","31,830.28","25,632.58","31,383.37","40,774.62","35,691.07","29,177.61","34,115.62","42,949.06","39,511.35","32,330.65","37,571.47","47,568.56","43,343.89","35,132.54","40,701.45","54,233.51","48,813.39","37,908.30","44,693.63","58,217.29","51,689.33","41,214.96","49,758.51","64,410.44","54,967.17","43,685.33",...
Mongolia,"3,508,102.40","5,077,543.40","5,281,732.40","5,306,864.30","4,222,086.50","5,970,325.30","6,366,832.30","5,667,810.20","4,643,453.60","6,041,806.60","6,463,642.60","6,001,482.80","4,738,100.20","6,221,958.20","6,290,160.80","6,692,647.20","5,831,456.60","7,240,074.50","7,317,453.00","7,506,540.10","6,758,521.90","8,408,131.40","8,293,359.50",...,...,...,...,...,...,...
Montenegro,637.77,788.14,"1,101.90",834.67,663.64,800.42,"1,125.02",868.85,686.3,859.34,"1,189.22",919.65,729.5,920.47,"1,291.33","1,012.92",783.81,"1,008.27","1,416.29","1,090.72",848.71,"1,108.23","1,531.06","1,175.14",886.03,"1,151.55","1,630.57","1,239.75",913.12,...
Morocco,"216,036.00","218,589.76","216,511.73","221,653.74","220,144.92","230,247.00","222,894.00","237,074.00","245,666.00","242,731.00","243,917.00","254,017.00","247,929.00","251,806.00","250,809.00","261,830.00","258,043.00","261,789.00","262,969.00","272,593.00",...,...,...,...,...,...,...,...,...,...
Netherlands,"161,409.00","168,105.00","161,493.00","169,456.00","164,432.00","169,898.00","163,863.00","173,367.00","166,535.00","175,441.00","170,501.00","177,531.00","171,335.00","179,918.00","174,235.00","182,849.00","178,225.00","187,838.00","181,702.00","190,381.00","188,086.00","196,773.00","190,226.00","198,902.00","196,565.00","206,487.00","199,281.00","207,914.00","200,967.00",...
New Zealand,"55,526.00","55,040.00","54,922.00","62,551.00","60,206.00","59,119.00","57,497.00","63,708.00","61,874.00","61,908.00","60,426.00","66,605.00","65,545.00","65,126.00","63,832.00","71,427.00","70,004.00","69,349.00","68,796.00","77,013.00","73,946.00","73,142.00","71,458.00","79,027.00","76,698.00","76,104.00","74,932.00","83,300.00",...,...
Nigeria,"18,522,185.10","20,149,674.20","20,703,824.60","21,634,280.80","20,381,903.54","21,957,446.05","23,232,819.39","24,564,815.67","21,242,543.07","23,080,911.17","24,627,752.28","26,226,529.16","22,435,464.29","23,737,297.49","26,871,010.76","29,531,645.49","26,228,851.52",...,...,...,...,...,...,...,...,...,...,...,...,...
North Macedonia,"109,082.25","127,692.71","131,072.03","134,044.01","120,689.72","134,262.15","134,107.44","138,571.69","128,439.38","138,813.89","143,586.62","148,113.73","135,707.09","146,029.49","154,078.80","158,979.42","143,436.12","150,671.58","159,616.72","164,381.27","151,570.00","161,388.51","167,567.55","177,527.23","163,049.61","169,422.03","177,644.70","187,428.74","165,682.60",...
Norway,"747,978.00","759,086.00","752,190.00","811,971.00","795,082.00","770,454.00","763,226.00","812,052.00","778,574.00","779,479.00","762,868.00","790,248.00","748,856.00","779,497.00","747,394.00","822,401.00","832,955.00","802,847.00","792,070.00","867,510.00","862,893.00","875,293.00","862,446.00","930,228.00","902,367.00","868,386.00","848,582.00","930,025.00","901,222.00",...
Paraguay,"42,269,507.14","40,792,316.99","39,779,858.36","43,872,904.38","45,041,113.69","43,843,655.47","43,007,943.09","47,828,896.95","46,213,986.94","45,731,218.48","45,894,730.01","50,390,787.89","49,164,479.59","49,477,963.46","51,398,177.64","54,406,657.59","54,670,990.40","52,521,629.20","53,667,473.64","58,328,323.63","58,221,782.91","57,417,843.21","54,934,337.57","60,915,313.89","59,284,095.12","56,740,949.63","57,813,751.26","64,215,351.69",...,...
Peru,"122,916.39","133,263.12","135,728.93","142,798.21","134,852.66","142,909.40","145,943.50","152,674.49","140,937.60","152,929.29","154,507.51","164,129.97","152,606.28","163,069.09","167,107.48","175,932.04","162,726.77",...,...,...,...,...,...,...,...,...,...,...,...,...
Philippines,"2,772,721.44","2,993,984.53","2,914,503.45","3,369,382.56","3,035,914.96","3,296,724.14","3,174,415.96","3,699,773.19","3,204,277.05","3,493,899.84","3,330,582.62","3,915,397.94","3,437,649.72","3,791,145.29","3,644,978.90","4,258,607.56","3,745,533.03","4,153,954.14","4,017,921.78","4,639,242.14","4,101,138.01","4,568,791.82","4,450,212.83","5,145,047.61","4,422,950.88","4,857,262.38","4,729,028.45","5,507,176.56","4,473,249.60",...
Poland,"381,790.90","401,989.00","407,575.20","465,540.40","399,536.90","418,230.90","425,004.30","477,657.90","415,705.20","434,231.10","439,971.70","510,334.90","430,175.30","450,125.20","454,818.70","526,029.30","458,470.40","478,896.00","491,407.20","560,577.70","488,225.50","508,460.60","525,998.80","597,794.60","521,714.50","548,099.40","565,833.40","637,908.70","552,227.90",...
Portugal,"40,735.43","42,240.44","43,459.53","44,056.87","41,068.11","43,644.37","44,392.16","43,949.05","42,847.15","45,444.90","45,985.12","45,436.00","44,688.39","47,013.13","47,640.56","47,147.73","46,623.17","49,364.15","49,952.78","50,007.10","48,567.76","51,211.93","52,119.50","52,405.58","50,649.42","53,092.60","53,960.98","54,617.62","50,557.78",...
Qatar,"184,386.91","174,597.26","180,040.87","184,343.59","196,893.10","189,356.65","188,804.04","175,603.75","154,131.26","152,091.76","148,999.36","144,072.47","131,794.00","134,814.00","141,278.00","147,100.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...
Romania,"121,373.10","148,031.30","175,220.90","190,834.10","129,461.60","156,750.70","184,125.20","198,252.60","139,960.80","163,035.00","197,460.60","212,131.40","147,337.10","179,567.50","208,002.80","230,228.00","164,727.80","197,201.40","237,636.60","258,329.90","180,990.90","219,013.80","265,125.40","287,266.70","202,920.00","245,061.80","290,460.80","321,360.60","215,965.20",...
Russia,"16,370,002.90","17,507,881.80","19,003,469.30","20,104,347.10","17,311,393.60","19,044,189.40","20,544,004.20","22,130,452.90","18,467,912.80","19,751,015.00","21,788,589.40","23,079,842.90","18,885,121.10","20,452,234.60","22,235,115.20","24,043,612.80","20,586,119.10","21,917,573.80","23,718,216.20","25,621,245.20","22,845,267.30","25,225,572.00","27,508,923.90","29,049,874.50","24,944,791.20","26,410,242.40","28,875,418.60","29,815,599.40",...,...
Rwanda,"1,187,000.00","1,225,000.00","1,226,000.00","1,295,000.00","1,322,000.00","1,354,000.00","1,396,000.00","1,394,000.00","1,424,000.00","1,458,000.00","1,518,000.00","1,561,000.00","1,594,000.00","1,620,000.00","1,672,000.00","1,736,000.00","1,817,000.00","1,869,000.00","1,927,000.00","1,985,000.00","1,986,000.00","2,000,000.00","2,065,000.00","2,137,000.00",...,...,...,...,...,...
Samoa,452.45,458.96,480.15,467.75,456.09,462.43,503.35,499.86,473.96,471.77,523.19,513.38,510.51,508.22,550.72,539.54,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Saudi Arabia,"702,563.81","692,774.32","701,752.52","702,836.08","746,219.90","726,232.14","723,184.18","640,677.24","642,110.53","633,736.54","606,991.68","570,673.48","576,101.46","600,753.74","605,080.49","636,572.66","634,716.53","624,765.63","644,513.35","678,202.47","699,190.72","738,850.54","745,061.51","766,354.11","718,543.14","740,031.80","745,369.33","769,681.37",...,...
Serbia,"933,676.12","1,018,453.34","1,063,810.64","1,105,260.06","959,647.72","1,031,703.87","1,052,365.73","1,116,831.14","975,863.71","1,075,194.42","1,098,918.84","1,162,061.13","1,025,541.29","1,121,052.35","1,157,807.05","1,216,863.97","1,077,243.46","1,178,356.12","1,218,607.96","1,280,160.86","1,151,792.80","1,261,706.28","1,305,151.01","1,349,938.42","1,205,951.82","1,334,130.27","1,400,872.56","1,469,839.55","1,296,134.56",...
Seychelles,"3,882.05","3,924.87","3,993.37","4,214.24","4,148.89","4,122.60","4,253.18","4,594.52","4,476.50","4,451.60","4,646.04","4,765.70","4,683.56","4,689.33","4,727.16","4,914.01","4,963.90","4,984.30","5,137.23","5,204.58",...,...,...,...,...,...,...,...,...,...
Singapore,"93,773.00","95,587.20","96,028.30","99,481.80","97,120.80","98,340.90","99,544.70","103,941.50","103,265.10","104,436.60","106,263.80","109,478.60","106,010.00","107,670.70","109,770.30","116,767.20","115,703.60","114,447.30","116,683.20","125,245.00","120,635.10","123,701.70","127,699.00","131,359.40","125,745.40","125,250.60","127,910.50","128,661.20",...,...
Slovakia,"17,209.22","18,586.91","19,610.12","18,948.60","17,562.01","19,008.86","20,142.31","19,542.68","18,228.78","19,854.21","21,045.30","20,629.91","18,642.57","20,285.42","21,183.19","20,927.09","19,194.99","21,147.63","22,219.65","21,958.88","20,294.53","22,509.29","23,724.08","23,078.01","21,656.68","23,666.89","24,596.55","24,251.12","21,485.25",...
Slovenia,"8,467.07","9,320.22","9,348.78","9,318.26","8,785.64","9,659.25","9,687.91","9,501.50","9,046.14","9,852.73","9,975.65","9,978.12","9,378.39","10,270.48","10,354.68","10,363.01","9,876.86","10,873.06","11,016.54","11,220.60","10,563.46","11,508.73","11,811.54","11,871.08","11,162.25","12,114.86","12,392.96","12,336.52","11,146.52",...
South Africa,"841,916.12","877,803.37","900,821.73","919,435.75","916,398.13","939,966.43","965,656.76","983,328.25","976,974.31","1,005,469.08","1,021,882.73","1,047,094.55","1,052,551.72","1,079,829.24","1,096,006.72","1,121,926.49","1,114,987.24","1,149,842.47","1,178,807.10","1,208,147.97",...,...,...,...,...,...,...,...,...,...
Spain,"246,846.00","259,228.00","251,199.00","263,075.00","248,197.00","260,733.00","254,780.00","268,448.00","257,233.00","272,132.00","266,375.00","281,850.00","265,844.00","281,788.00","275,793.00","290,415.00","276,630.00","294,280.00","287,451.00","303,517.00","286,801.00","304,350.00","296,143.00","314,899.00","298,222.00","315,755.00","305,893.00","325,461.00","291,647.00","250,051.00"
Sri Lanka,"2,407,674.07","2,332,841.75","2,425,773.08","2,425,836.02","2,529,211.00","2,507,968.00","2,646,734.00","2,764,566.00","2,653,430.70","2,673,185.60","2,785,399.89","2,838,604.32","2,907,241.13","2,872,373.75","2,942,082.80","3,185,054.39","3,261,838.20","3,153,644.84","3,328,461.69","3,545,522.27",...,...,...,...,...,...,...,...,...,...
Sweden,"919,673.00","979,878.00","924,681.00","998,439.00","951,259.00","1,023,626.00","968,754.00","1,049,091.00","1,010,436.00","1,092,097.00","1,032,860.00","1,125,077.00","1,048,249.00","1,136,446.00","1,058,650.00","1,171,686.00","1,105,221.00","1,189,075.00","1,107,745.00","1,223,053.00","1,157,617.00","1,248,970.00","1,147,467.00","1,274,252.00","1,209,402.00","1,292,101.00","1,206,761.00","1,312,539.00","1,237,676.00",...
Switzerland,"156,010.39","159,920.92","160,930.21","161,315.44","159,529.10","161,882.72","163,631.01","164,675.51","161,365.79","163,381.65","164,451.19","165,059.27","162,007.22","166,464.41","166,548.28","166,484.41","164,315.11","166,776.27","168,463.42","169,986.77","168,490.30","174,168.15","173,260.74","173,626.07","172,006.64","175,265.50","175,402.80","176,271.74","169,634.59",...
Thailand,"3,193,402.00","3,093,137.00","3,153,405.00","3,249,566.00","3,242,363.00","3,201,466.00","3,265,444.00","3,430,317.00","3,397,069.00","3,349,320.00","3,463,127.00","3,706,733.00","3,665,185.00","3,581,872.00","3,687,962.00","3,881,249.00","3,843,150.00","3,737,902.00","3,931,399.00","4,068,702.00","4,033,477.00","3,910,486.00","4,090,783.00","4,179,876.00","4,207,825.00","4,075,810.00","4,207,796.00","4,264,643.00","4,101,831.00",...
Turkey,"385,824.64","441,539.54","491,263.79","491,085.11","451,269.18","487,151.07","548,625.84","557,419.79","497,687.04","562,947.77","631,512.36","646,500.33","563,890.60","631,232.69","666,176.43","747,226.03","649,434.60","735,280.55","833,706.74","892,228.27","790,113.06","890,435.95","1,026,648.92","1,017,190.01","922,000.42","1,022,645.67","1,145,879.65","1,189,855.41","1,071,097.82",...
Ukraine,"303,753.00","354,814.00","398,000.00","408,631.00","316,905.00","382,391.00","440,476.00","447,143.00","375,991.00","456,715.00","566,997.00","588,841.00","455,298.00","535,701.00","671,456.00","722,912.00","592,523.00","665,233.00","834,287.00","891,839.00","705,977.00","810,174.00","994,810.00","1,049,635.00","815,123.00","932,677.00","1,111,862.00","1,114,902.00","845,829.00",...
United Kingdom,"440,096.00","439,808.00","444,191.00","458,014.00","464,316.00","461,656.00","462,886.00","473,106.00","474,141.00","474,420.00","476,712.00","491,623.00","491,845.00","496,920.00","495,160.00","511,554.00","515,850.00","512,093.00","513,359.00","530,365.00","529,837.00","530,412.00","535,871.00","548,184.00","552,375.00","546,501.00","551,221.00","566,354.00","552,403.00",...
US,"4,049,584.00","4,163,863.00","4,234,415.00","4,336,990.00","4,193,475.00","4,355,448.00","4,449,960.00","4,528,375.00","4,381,185.00","4,563,206.00","4,614,948.00","4,665,441.00","4,488,764.00","4,678,299.00","4,734,573.00","4,813,405.00","4,649,728.00","4,863,682.00","4,940,866.00","5,065,149.00","4,917,129.00","5,141,726.00","5,209,973.00","5,311,394.00","5,148,400.00","5,360,917.00","5,404,652.00","5,517,583.00","5,251,691.00",...
Uruguay,"271,714.59","284,426.95","294,813.23","327,376.95","314,521.18","323,686.10","328,921.41","363,379.67","348,894.17","347,755.80","365,657.98","393,540.27","384,061.83","382,547.45","395,844.55","426,741.54","417,423.67","408,742.39","421,086.13","459,856.45","444,841.00","443,000.51","458,149.18","492,659.43",...,...,...,...,...,...
West Bank and Gaza,"2,829.10","3,145.50","3,183.10","3,318.30","3,171.80","3,309.80","3,188.70","3,045.30","2,936.30","3,183.80","3,216.40","3,336.50","3,233.90","3,363.90","3,457.50","3,370.40","3,387.30","3,653.70","3,728.30","3,728.80","3,689.90","3,559.50",...,...,...,...,...,...,...,...